date,home,away,text
2014-02-28,Southampton FC,Liverpool FC,"The situation is now clear for Liverpool, who are no longer in the FA Cup and have 11 league games to negotiate to possibly become the most unlikely of champions. Brendan Rodgers may insist the top four is his priority, but all their title rivals are preoccupied in other tournaments. However, he is aware his side were well beaten at St Mary's last season, and cannot afford a repeat. Paul Chronnell"
2014-02-28,Everton FC,West Ham United,"Everton have lost this fixture only once since 1983 but with West Ham arriving on four wins out of four for February and Roberto Martínez's side slipping down the table since Romelu Lukaku was injured in the loss at Anfield, they will fancy their chances more than usual. Lukaku is available for the first time since while Andy Carroll has served a ban but may start on the bench. Mark Tallentire"
2014-02-28,Fulham FC,Chelsea FC,"Felix Magath's first home game in charge pits a potentially reinvigorated Fulham side against a Chelsea team weary after midweek exertions in Europe. Bottom against top will not feel quite as daunting given José Mourinho's team were not back from Istanbul until 4am on Thursday morning and have had only one full training session in preparation for this derby. Yet, while Arsenal are their closest challengers, Chelsea will recognise that victories in their next two games will open up a nine-point lead over Manchester City. That represents an opportunity. Dominic Fifield"
2014-03-07,West Bromwich,Manchester United,The last time these two met at The Hawthorns it was the final day of the season and Sir Alex Ferguson's last game in charge of Manchester United. Nobody thought that the transition would be seamless under David Moyes but few expected it to be quite this bad. Albion are also in a state of turmoil. They have won only one of their last 18 matches in all competitions and are still looking for their first victory since Pepe Mel took over. Stuart James
2014-03-07,Manchester City,Wigan Athletic,"The Capital One Cup in the bag, now ManchesterCity's attention turns to the FA Cup. Yet they will have to avoid complacency in their quarter-final against Wigan, their conquerors in last season's final and managed by the former City striker, Uwe Rösler. Wigan will take inspiration from what was one of the greatest shocks in the tournament's history. Could Manuel Pellegrini's side have one eye on Wednesday's Champions League tie with Barcelona? Unlikely. They beat Wigan 5-0 at the Etihad Stadium in the third round of the Capital One Cup in September. Jacob Steinberg"
2014-03-07,Chelsea FC,Tottenham Hotspur,"Chelsea, unbeaten in 13 league games, can move seven points clear of the teams in second place with victory over their bitter rivals from across the capital and will fancy their chances given Tottenham Hotspur have not won a league game at Stamford Bridge since Gary Lineker and David Howells scored in a 2-1 success back in February 1990. They have come close to breaking that duck in the years since, and competed well in a 2-2 draw last term, though their own pursuit of Champions League qualification demands an adventurous approach. The hosts, who will conduct late checks on the personnel who have returned from international duties, will hope to capitalise. Dominic Fifield"
2014-03-07,Hull City,Sunderland AFC,"Already beaten twice by Hull and their old boss Steve Bruce in the Premier league this season, Sunderland may not be too sure whether they want to make it third time lucky. Still deeply embroiled in the relegation skirmish, Gus Poyet's team could probably do with bowing out at this stage so it will be no surprise if he makes several changes to the side which lost last Sunday's Capital One Cup finalto Manchester City at Wembley. Former Sunderland players Ahmed Elmohamady and David Meyler will be keen to impress against their old team. Louise Taylor"
2014-03-07,Cardiff City,Fulham FC,"It has been another turbulent week at Cardiff City and one would feel with Everton and Liverpool next up, failure to get a result against the only team below them in the table would plunge Ole Gunnar Solskjaer's team into a deeper crisis. Fulham's new manager, Felix Magath, reckons there is more pressure on Cardiff but, winless since January, they need to improve before it's too late. Alan Smith"
2014-03-07,Norwich City,Stoke City,"These are games Norwich need to get a result from if they are to stay up. Wes Hoolahan made only his sixth start of the season and scored within three minutes against Aston Villa last week so he should get the nod against a Stoke team minus Charlie Adam, who is banned for a stamp on Olivier Giroud. Mark Hughes' team are not safe either and defeat would see them overtaken by Norwich. Alan Smith "
2014-03-07,Sheffield United,Charlton Athletic,"Nigel Clough insists that his team are not favourites despite having home advantage and a six-game winning run, on the basis that Charlton currently reside a division above Sheffield United. Chris Powell's team are struggling to maintain their status in the second tier but with a date at Wembley 90 minutes away his team will try to put their problems to one side for the afternoon. Alan Smith"
2014-03-07,Crystal Palace,Southampton FC,"This, on paper, would appear to be one of Crystal Palace's more winnable remaining home fixtures this term as they attempt to move six points clear of relegation, though Tony Pulis' side remain saddled with a dreadful record against the division's current top-nine teams. The point earned at home to Everton remains their only reward in 12 games against the teams from Southampton up and, with Marouane Chamakh hamstrung, a lot will depend upon Glenn Murray hitting the ground running. The Saints will be buoyed by the international recognition gained by their players in midweek, though that may yet prove to have disrupted their preparations. Dominic Fifield"
2014-03-07,Arsenal FC,Everton FC,"Everton have felt robbed in the capital after the recent 1-0 losses to Chelsea and Tottenham but they have lacked a goal threat recently to build upon solid team performances. The hope is that the fit-again Romelu Lukaku can provide it, having marked his return as a substitute with the winner at home to West Ham last weekend. Arsenal might consider the FA Cup as their best chance of a trophy and, heaven knows, they are desperate to win something. David Hytner"
2014-03-14,Swansea,West Bromwich Albion,"Pepe Mel has mustered a mere four points since taking over at West Bromwich and will be without six members of his squad including the captain, Chris Brunt, while Nicolas Anelka has parted company with the club. Swansea are in a similar dire run, claiming three points from their last six games, but Garry Monk could welcome back Michu after a three-month injury layoff. Samar Maguire"
2014-03-14,Fulham FC,Newcastle United,"Alan Pardew begins his three-match stadium ban here and Felix Magath may soon find himself wishing he were not at Craven Cottage too. The German was plunged into a mess and his three games in charge have yet to produce any evidence that he can tidy it up. Fulham's best hope of getting their first win league win since New Year's Day could lie in the attitude of their opponents, but, after going through an indifferent spell, Newcastle have won their last two matches and seem to have their heads in the right places again. Paul Doyle"
2014-03-14,Sunderland AFC,Crystal Palace,"Gus Poyet has dubbed this quintessential relegation six-pointer as ""bigger"" than Sunderland's Capital One Cup final against Manchester City and the season's ""most important game."" With Tony Pulis prone to packing Palace's defence and aiming to sneak a goal on the break before pulling everyone back behind the ball again, it will not be easy for Sunderland. Often low on creative guile, Poyet's team frequently struggle to score and so much may depend on whether Adam Johnson and Fabio Borini are in inventive and incisive mood. Louise Taylor"
2014-03-14,Stoke City,West Ham United,"Stoke are without Jonathan Walters and Charlie Adam through suspension but are in good form, having lost just once – to Manchester City – in their last six. West Ham have lost once in five matches with Sam Allardyce named manager of the month in February. West Ham, who have conceded just one in their last four games on the road, have won and drawn in their last two league visits to the Britannia Stadium. Daniel Clark"
2014-03-14,Southampton FC,Norwich City,"Southampton have won one of their last eight home games but will struggle to find a better chance to improve that run against Norwich whose away form – having lost the previous four away from Carrow Road – could yet be very costly. They are four points clear of the bottom three but do have a favourable run with Sunderland, Swansea, West Bromwich and Fulham after this. Alan Smith"
2014-03-14,Hull City,Manchester City,"This time last week, Manchester City were in with a chance of an unprecedented quadruple. Now, with the League Cup already safely secured, they have only the Premier League to focus on. It will be intriguing to see how they bounce back following the defeats to Wigan and Barcelona but Hull will look to use the momentum gained from their FA Cup run to move closer to safety. Alan Smith"
2014-03-14,Everton FC,Cardiff City,"The statistics do not make happy reading for Cardiff, who visit Goodison for the first time since 1962 (a game Everton won 8-3), despite last weekend's win over Fulham. Not only have they lost their last seven on the road, their main problem, the concession of late goals, having left 18 slip by in the last 15 minutes of games, could well be worsened by their hosts. Everton have the third highest tally of 13 late goals scored. Alan Smith"
2014-03-14,Tottenham Hotspur,Arsenal FC,"Tottenham have laboured in recent weeks and it feels as though they must win this one to keep their Champions League dream alive. They have a decent record at home to Arsenal of late and when they won the corresponding fixture last season, there was talk of their rivals being in a ""negative spiral"". Arsenal, though, fought their way back from the crisis, which has become a speciality of theirs. Blood and thunder looms. David Hytner"
2014-03-14,Aston Villa,Chelsea FC,"One must wonder how much longer José Mourinho will play down Chelsea's chances. On Friday he spoke of how they are ahead of schedule but refuses to acknowledge that with a seven-point lead heading into this weekend, Chelsea are one of the favourites for the title. Win against Villa, who have lost seven of their eight home games to teams in the top 10, and he must publicly recognise their credentials. Alan Smith"
2014-03-14,Manchester United,Liverpool FC,If Liverpool want to establish themselves as perennial title challengers then winning at Old Trafford has to become a regular occurrence. Brendan Rodgers' team have a chance to start a new trend as the last time Manchester United lost at home to their fiercest rivals was the 4-1 humiliation of 2008-09. David Moyes remains resolute in the midst of a trying inaugural season in charge of the champions but with Liverpool 11 points better off a victory could prove pivotal in turning his team's fortunes around. Jamie Jackson
2014-03-21,Newcastle United,Crystal Palace,"The good news for struggling Palace is that Newcastle are without the injured Loïc Rémy for a seventh Premier League fixture this season. When the France striker, on loan from QPR, has been absent, Alan Pardew's team have lost five league games, drawn one and failed to score a single goal. ""Rémy's not our player but we struggle to score without him,"" acknowledged the one-time Palace midfielder who, because of a stadium ban, will watch the match on television at the training ground. Much may depend on if and when Hatem Ben Arfa is liberated from the home bench. Louise Taylor"
2014-03-21,Norwich City,Sunderland AFC,"Another meeting of two sides struggling to keep their heads above water. Chris Hughton's future at Norwich is in a near constant state of doubt and if they are to maintain their Premier League status, they need results against the teams around them in the table. Sunderland, while third bottom, have games in hand due to their cup runs but that could yet prove their downfall as fixtures pile up. Alan Smith"
2014-03-21,Chelsea FC,Arsenal FC,"Arsène Wenger will take little satisfaction in overseeing his 1,000th match if the derby he has labelled Arsenal's ""game of the season"" is lost. This contest will go some way towards determining these clubs' respective title challenges, with the visitors aware that, if Wenger secures a first victory in 11 attempts over a team managed by José Mourinho, then a follow-up success at home to Swansea on Tuesday will send them top. Mourinho suggested this game was of no greater significance than last weekend's trip to Aston Villa, though that fooled no one. The loss of Willian and Ramires to suspension feels significant. Dominic Fifield"
2014-03-21,Tottenham Hotspur,Southampton FC,"Spurs restored some pride in the second half against Benfica on Thursday but, after the defeat by Arsenal last weekend, their aim of securing a Champions League place lies in tatters. Injuries have not helped Tim Sherwood's case but he will be desperate to end a four-game winless run at home to Southampton, whose England players remain determined to earn World Cup call-ups. Alan Smith"
2014-03-21,Aston Villa,Stoke City,"Aston Villa, buoyed by last week's surprise triumph over Chelsea, aim at Villa Park to make it three successive victories for the first time since October 2007. Hope can be taken from Stoke's poor away form – they have not won a league game outside the Potteries since August – and the fact that Charlie Adam and Jonathan Walters are suspended for the visitors and Stephen Ireland is ineligible. Anastasiia Tikhomirova"
2014-03-21,Hull City,West Bromwich Albion,"Pepe Mel finally guided West Brom to victory in his eighth game by coming from behind at Swansea last weekend. But they must now build on that because, with Sunderland holding two games in hand, Mel's team are by no stretch of the imagination safe. Hull, with only one win in their past eight home league games, could still be dragged into the fight for survival, despite sitting 14th. West Brom would leapfrog Steve Bruce's team with a win, outlining how tightly bunched the bottom half of the table is. Alan Smith"
2014-03-21,West Ham United,Manchester United,"The picture is looking much brighter for Manchester United now. Wednesday's victory over Olympiakos in the Champions League has lifted the gloom for David Moyes after last Sunday's humiliation at home to Liverpool, although United will have to be at their best at Upton Park, a ground where they have often come unstuck. The doubts will return if United lose to West Ham, who are not quite clear of the relegation battle just yet. West Ham have lost their past two matches but this is unlikely to be easy for the champions. Jacob Steinberg"
2014-03-21,Cardiff City,Liverpool FC,"Second in the league against second bottom. Assuming Liverpool play close to their potential, it is difficult to see anything other than a sixth straight league victory for Brendan Rodgers's title-chasing side. Liverpool have scored more than three times as many goals as Cardiff; Luis Suárez has two more than Ole Gunnar Solskjaer's entire squad. Unlucky to lose at Everton last Saturday, Cardiff know their survival hopes are likely to hinge on the following two games, against West Bromwich Albion and Crystal Palace. Stuart James"
2014-03-21,Everton FC,Swansea,"​A win would see Everton leapfrog Tottenham into fifth and, despite a lengthy list of absentees, the omens are good. Roberto Martínez's team have not only won their past seven games at Goodison Park, they have also beaten Swansea in five of the last six meetings. For Garry Monk's team, the threat of relegation looms large – they lie five points off the bottom – and points are required. Alan Smith"
2014-03-28,Fulham FC,Everton FC,"Fulham have seven matches to secure their Premier League survival and this threatens to be the hardest of the lot. Everton, with Ross Barkley and Romelu Lukaku seemingly revitalised after being rested by Roberto Martínez, appear to be gaining momentum and their pursuit of a Champions League spot means they will show no mercy to Felix Magath's men, who will likely have to produce their best performance of the season to avoid another defeat. Paul Doyle"
2014-03-28,Liverpool FC,Tottenham Hotspur,"Momentum is behind Liverpool in the title race, with Brendan Rodgers's team unbeaten in the Premier Lleague in 2014 and taking 32 points from the last 36 available. The tension surrounding Sunderland's visit on Wednesday did not stop a seventh consecutive win and memories of December's 5-0 thrashing of Tottenham, Liverpool's biggest ever win at White Hart Lane, offer assurance. Spurs have taken one point from seven games against the current top four this season, conceding 23 goals, and have won once in their last 19 league visits to Anfield. Andy Hunter"
2014-03-28,Sunderland AFC,West Ham United,"After being booed by West Ham fans following Wednesday's win against Hull at Upton Park, Sam Allardyce's future with the club is said to be under boardroom scrutiny. If Allardyce senses D-day approaching, Gus Poyet knows the feeling. With trips to Tottenham and Chelsea as well as a visit from Everton, April could be a cruel month for his Sunderland side. Victory against a Hammers team still not entirely safe themselves is surely imperative if relegation is to be avoided. Louise Taylor"
2014-03-28,Arsenal FC,Manchester City,"Arsenal fans are worried, and little wonder. Injuries have hit and the team's confidence is fragile while they encounter a City side fresh from their humbling of Manchester United and who remain as most people's title favourites. Arsène Wenger has them down as the side to beat. Arsenal's manager might have to temper his natural instinct to get on to the front foot – City bite. The visitors still have to go to Liverpool but they see this as a key staging post. David Hytner"
2014-03-28,Manchester United,Aston Villa,"David Moyes insists that the majority of Manchesterchester United fans are behind him despite the midweek derby defeat and hiring of a plane by some to fly over Old Trafford to protest. The Scot concedes he needs to win matches so who knows what might occur if United go down to Villa in what would be a seventh home league defeat. That would be a club record in the Premier League era, beating the mark set just on Tuesday evening when City beat Moyes's side 3-0 and Sir Alex Ferguson was abused by some supporters. This is how dire proceedings currently are at the defending champions. Jamie Jackson"
2014-03-28,Swansea,Norwich City,"Coming off the back of last week's 2-0 win against Sunderland, another victory could see Norwich go 10 points clear of the relegation zone. Despite being without a win in their last six league games, Swansea will have been buoyed by the late point they earned at Arsenal on Tuesday. Norwich have never lost to Swansea in the Premier League but their run of five consecutive away defeats makes this one hard to call. Romily Preston-Ellis"
2014-03-28,Crystal Palace,Chelsea FC,"Victory in this derby may lack the resonance of last weekend's thrashing of Arsenal, but José Mourinho would still consider it critical. With Liverpool and Manchester City breathing down their necks, Chelsea can ill afford to slip up against a team without a win in five matches. Palace have scored only once, from a penalty, in that time, are without the injured Marouame Chamakh and have their eye on games with Cardiff and Aston Villa to come. Dominic Fifield"
2014-03-28,Southampton FC,Newcastle United,"It says a lot about Southampton and Newcastle that there is likely to be more attention on the referee than them. Andre Marriner will be hoping for a quiet afternoon after his blunder during Chelsea's win over Arsenal last week and will be glad that Alan Pardew, whose stadium ban is over, is not allowed on the touchline yet. Newcastle's manager is looking forward to giving his team-talk after three matches away. But both sides are safe in mid-table, so this is likely to be a low-pressure affair. Jacob Steinberg"
2014-03-28,Stoke City,Hull City,"With seven games to go, Stoke remain on track for a 10th-placed finish, their highest in the Premier League. Unsurprisingly, their home form has been the cornerstone of their relative success and with only two defeats at the Britannia all season, it would be quite surprising if Hull, who are similarly positioned in mid-table but could yet be dragged into a relegation fight, leave with a win. Alan Smith"
2014-03-28,West Bromwich Albion,Cardiff City,"Second-from-bottom Cardiff travel to The Hawthorns having lost their last away eight games and during which they have conceded at least two on seven occasions. West Bromwich are also in a dire state having won one in nine since Pepe Mel was appointed and are only three points clear of the relegation places having played a game more than Sunderland, who are placed 18th. Dan Cancian"
2014-04-04,Manchester City,Southampton FC,"City remain favourites to win the title but Southampton should provide more of a challenge than the average visitor to the Etihad this season. Still, three points here would put Manuel Pellegrini's team a point behind Liverpool with the top two set to collide next weekend. Playing in the early kick-off also gives City the opportunity to put a little more pressure on Liverpool and Chelsea with a 14th home win in 15 games. Alan Smith"
2014-04-04,Newcastle United,Manchester United,"There was a time when this fixture involved two teams challenging for the title but on Saturday it is all about two managers under considerable scrutiny. While Alan Pardew – who admits he is struggling to motivate Newcastle's players – aims to compensate for last week's disappointing defeat at Southampton, David Moyes must balance the desire for points against potential European glory. With injuries depriving Pardew of several key individuals including Loïc Rémy, it will be interesting to see who he rests ahead of the Manchester United's decisive Champions League trip to Bayern Munich. Louise Taylor"
2014-04-04,Hull City,Swansea,"Swansea currently shade Hull on goal difference after beating Norwich last time out but with both hovering seven points above the danger zone, a win for either should be enough to secure safety. Yet with the excitement building in advance of next weekend's FA Cup semi-final with Sheffield United expect Steve Bruce's starting XI to go all out to impress and secure their place at Wembley. Alan Smith"
2014-04-04,Tottenham Hotspur,Sunderland AFC,"Tottenham will be looking to recover from their devastating defeat to Liverpool against a Sunderland side who have struggled for goals recently. Tim Sherwood may call up the Brazilian Paulinho, who is desperate to stake his place in the Spurs team in preparation for the World Cup. Sunderland need to gather points quickly if they are to escape relegation but they do possess two games in hand. Karl Cryer"
2014-04-04,Chelsea FC,Stoke City,"Chelsea cannot afford to dwell on either their midweek defeat in Paris, or for that matter their loss at Crystal Palace seven days ago. A team that looked strong for so long are suddenly faltering on all fronts but this match offers José Mourinho's men a chance to at least re-establish themselves in the Premier League. Worryingly for the home side, they face a Stoke side in good form. Sachin Nakrani"
2014-04-04,Everton FC,Arsenal FC,"Everton's fate is in their hands. Victory over Arsenal would move the Blues, who have won their past five league matches, a point behind them with a game in hand and a top-four finish would be within touching distance. Arsenal have faltered in big matches and will need to defend far better than they did in their previous away match, when they were trounced 6-0 by Chelsea. The scars from that defeat are yet to heal and Everton sense this is their time. Jacob Steinberg"
2014-04-04,West Ham United,Liverpool FC,"Liverpool are yet to show signs of choking in their charge for the title but West Ham have the potential to make life awkward for them. Upton Park has been a graveyard for potential champions in the past and for Liverpool the fear must be that they will come unstuck at the hands of two of their former players, Andy Carroll and Stewart Downing. West Ham's defence, which has kept 13 clean sheets this season, poses another problem - but Brendan Rodgers has Luis Suárez. Jacob Steinberg"
2014-04-04,Norwich City,West Bromwich Albion,"Liverpool, Man United, Chelsea and Arsenal: Norwich's run-in is unenviable, making this and next week's trip to Fulham hugely important. Six points clear of the drop, a win over an increasingly desperate West Brom would put them in a good position. Norwich's home form is strong, with an unbeaten run stretching back to December, while West Brom's only win under Pepe Mel came on the road. Defeat for Albion will increase their fears. Alan Smith"
2014-04-04,Cardiff City,Crystal Palace,"Not quite one to garner the attention of purists. Avoiding defeat is a must to keep Cardiff in with a chance of surviving but Crystal Palace will look to frustrate the hosts. And after last week's victory at home to Chelsea, Tony Pulis's team will be confident of a first win in 10 at Cardiff. They are not yet safe but a win would go a long way to securing their status and put Cardiff on the brink. Alan Smith"
2014-04-04,Aston Villa,Fulham FC,"Fulham have not won at Villa Park in the Premier League but if they are to cling on to any chance of remaining at the top table next season they need that to change against an Aston Villa minus Christian Benteke, who ruptured an achilles tendon in training on Thursday to ruin his World Cup plans. Paul Lambert's team are unpredictable but with safety almost assured, expect them to score despite being without their main marksman against the league's most porous defence. Alan Smith "
2014-04-11,Crystal Palace,Aston Villa,"After two successive 3-0 victories, Crystal Palace could virtually assure their Premier League status by completing the double over Villa. Things are rarely that simple at Selhurst Park, however, and Tony Pulis will be wary of underestimating opponents lacking their leading scorer Christian Benteke but who have picked up more points away from home than any side in the bottom half. Ed Aarons"
2014-04-11,Fulham FC,Norwich City,"Who could have predicted at the start of the season that with five games remaining Felix Magath and Neil Adams would be in charge of Fulham and Norwich respectively? Yet here they are, preparing for a crucial game in the relegation struggle. Fulham, five points behind Norwich, won at Aston Villa last week and Darren Bent is available again. Adams insists his first match in charge since Chris Hughton's departure ""is not a decider"", but with Norwich's horrendous run-in, a defeat could be devastating. James Riach"
2014-04-11,Stoke City,Newcastle United,"Stoke have the league's best home record outside of the top five with two defeats (to Norwich and Liverpool), so when you consider Newcastle are haemorrhaging goals - conceding 11 without scoring in their past three outings - it would be a shock to see Mark Hughes' side slip to a third loss at the Britannia. Already closing in on their best Premier League finish, a win would move Stoke to within three points of Alan Pardew's troubled team. Alan Smith"
2014-04-11,Wigan Athletic,Arsenal FC,"There ought to be only one outcome when a top Premier League club meets Championship opposition at Wembley, particularly when the former is on a mission to end a nine-year trophy drought. But this is Arsenal and, as previous mishaps have proved, anything can happen. Anxiety stalks the club and Arsène Wenger's future remains on edge. Defeat to Wigan, the FA Cup holders, who beat Manchester City in the quarter-finals, could conceivably tip him over it. David Hytner"
2014-04-11,West Bromwich Albion,Tottenham Hotspur,"West Brom have still not won at home under Pepe Mel but it should also be noted that since he took over in January Manchester United are the only team to have won at the Hawthorns, with Everton, Liverpool and Chelsea managing only draws. Five points above the relegation zone, a first home win over an unpredictable Tottenham would go a long way to ensuring their safety. Alan Smith "
2014-04-11,Sunderland AFC,Everton FC,"Gus Poyet and Roberto Martínez were once midfield team-mates at Real Zaragoza. Managerially their respective philosophies have much in common but, right now, their careers are on divergent trajectories. While Everton arrive with a Champions League place almost within touching distance, Poyet concedes it will ""take a miracle"" to save Sunderland from the Championship. As Martínez seeks revenge for the Wearsiders's unexpected 1-0 Boxing Day win at Goodison Park his old friend simply prays for a first league victory since February 1. Louise Taylor"
2014-04-11,Southampton FC,Cardiff City,"Ole Gunnar Solskjaer said Cardiff needed to beat Crystal Palace last week to stand a chance of staying up but this trip to the south coast really must be their final chance of staging an unlikely fight to avoid the drop. Their awful away form, with a solitary win on the road, coupled with Southampton's attacking strength, makes a win seem unlikely even if Mauricio Pochettino's team are comfortably ensconced in eighth. Alan Smith"
2014-04-11,Liverpool FC,Manchester City,"Five more wins will see Liverpool crowned champions of England for the 19th time and for the first time since 1990. Easy to write, harder to accomplish. The visit of Manchester City presents arguably the toughest assignment left for Brendan Rodgers' side, although Chelsea also await, and victory at a seething Anfield would leave Manuel Pellegrini's side requiring a slip-up. City, however, with Sergio Agüero fit again, can wrestle control of the title should they inflict a first home defeat on Liverpool since September. Andy Hunter"
2014-04-11,Hull City,Sheffield United,"Hull have never been to the FA Cup final and nor has any side from the third tier, which is where Sheffield United currently find themselves. Nigel Clough's side will start as underdogs but having tamed Aston Villa already in this Cup run they will not be daunted by taking on Steve Bruce's team who will be without Shane Long and Nikica Jelavic, the strikers who helped them secured their Premier League survival. Paul Doyle"
2014-04-11,Swansea,Chelsea FC,By the time Chelsea kick-off in south Wales on Sunday they will have a greater understanding of the task at hand if they are to pip Liverpool and Manchester City to the title. A draw in the earlier game at Anfield would suit José Mourinho's team but a win for City would allow Chelsea to go top with three points against a Swansea side who are still fighting to confirm their top-flight status. Alan Smith
2014-04-18,Cardiff City,Stoke City,"Given that their remaining home game is on the final day against Chelsea, this match has the feel of the last-chance saloon for Ole Gunnar Solskjaer and his side if they are to avoid an instant return to the Championship. Stoke have won four of their past five league games to climb into the top half of the table, a lofty position that Mark Hughes will be keen for his team to remain in. Paul Chronnell"
2014-04-18,Aston Villa,Southampton FC,"Aston Villa badly need to end a damaging week with the victory that would put their relegation fears to bed. The club's decision to suspend Ian Culverhouse, the assistant manager, and Gary Karsa, the head of football operations, on the back of a fourth successive defeat has left them in a state of turmoil. It is 13 years since Villa lost five league games on the spin. The visitors are also struggling, having lost three of their last four. Something has to give. Stuart James"
